iter	Accuracy	Logloss
370	0.8184746348	0.3971468401
371	0.8184746348	0.3969554546
372	0.8184746348	0.3968371986
373	0.81881974	0.3966674582
374	0.8187047049	0.3965601406
375	0.8187047049	0.396449082
376	0.8189347751	0.3962441874
377	0.81881974	0.3961328254
378	0.81881974	0.3960286051
379	0.81881974	0.3959330197
380	0.8187047049	0.3958804518
381	0.8190498102	0.3957058785
382	0.81881974	0.3955914511
383	0.81881974	0.3955079313
384	0.8187047049	0.3953932339
385	0.8187047049	0.39530019
386	0.8187047049	0.3952065434
387	0.8191648453	0.3950574423
388	0.8189347751	0.3949482225
389	0.8190498102	0.3948607995
390	0.8192798804	0.3947365234
391	0.8198550558	0.3945735908
392	0.8197400207	0.3942790755
393	0.8198550558	0.3941660604
394	0.8198550558	0.3940136988
395	0.820085126	0.3939107417
396	0.8199700909	0.3937917205
397	0.8199700909	0.3937242042
398	0.8199700909	0.3935510645
399	0.820200161	0.3934906107
400	0.820085126	0.3931761018
401	0.8199700909	0.3930839622
402	0.8197400207	0.3929810984
403	0.8199700909	0.3928785231
404	0.820200161	0.3928313046
405	0.820200161	0.3927367434
406	0.8203151961	0.3925504558
407	0.8198550558	0.3924328183
408	0.8198550558	0.392336535
409	0.820200161	0.3922268982
410	0.820200161	0.3921401572
411	0.8204302312	0.3920207074
412	0.8205452663	0.3919320292
413	0.8205452663	0.3918124341
414	0.8203151961	0.3917414697
415	0.8204302312	0.3916552608
416	0.8205452663	0.3915220017
417	0.8205452663	0.3912824157
418	0.820085126	0.3911703547
419	0.8205452663	0.3910981961
420	0.8210054066	0.39100209
421	0.8207753365	0.3908146609
422	0.8206603014	0.3907349446
423	0.8206603014	0.3906627787
424	0.8205452663	0.3905506573
425	0.8204302312	0.3904610293
426	0.8206603014	0.3902917726
427	0.8206603014	0.3901385916
428	0.8205452663	0.3900579475
429	0.8203151961	0.3899753508
430	0.8206603014	0.3898692944
431	0.8207753365	0.3897377995
432	0.8208903716	0.3896334293
433	0.8204302312	0.3895249018
434	0.8205452663	0.3893604947
435	0.8205452663	0.3892914662
436	0.8210054066	0.3892077375
437	0.8210054066	0.3890460737
438	0.8212354768	0.3889475086
439	0.8213505119	0.3888811194
440	0.8210054066	0.3887899045
441	0.8208903716	0.3887092107
442	0.8208903716	0.3886456721
443	0.8208903716	0.3885801433
444	0.8208903716	0.388456374
445	0.8207753365	0.3883407209
446	0.8206603014	0.3882420089
447	0.8206603014	0.3881579633
448	0.8207753365	0.388044483
449	0.8210054066	0.387888555
450	0.8207753365	0.3877325561
451	0.8208903716	0.3876167546
452	0.8207753365	0.3874439922
453	0.8208903716	0.387356057
454	0.8207753365	0.3872385112
455	0.8207753365	0.387149
456	0.8208903716	0.3870637008
457	0.8208903716	0.3870006002
458	0.8208903716	0.3869208374
459	0.8207753365	0.3868259863
460	0.8206603014	0.3866302284
461	0.8208903716	0.3864579543
462	0.8208903716	0.3863363825
463	0.8210054066	0.3862704259
464	0.8212354768	0.3860926095
465	0.821465547	0.3860610678
466	0.821465547	0.3858198841
467	0.8215805821	0.3857426802
468	0.821465547	0.385618405
469	0.821465547	0.3855204465
470	0.821465547	0.3854135841
471	0.821465547	0.3852297648
472	0.8212354768	0.3851252492
473	0.8213505119	0.3849725084
474	0.821465547	0.3849040167
475	0.8212354768	0.3848412441
476	0.8212354768	0.3847770419
477	0.8213505119	0.3847206353
478	0.8212354768	0.3846353568
479	0.8211204417	0.3845372956
480	0.8211204417	0.384451442
481	0.8212354768	0.3843831753
482	0.821465547	0.3843256181
483	0.8213505119	0.3842482455
484	0.821465547	0.3841643275
485	0.821465547	0.3840970911
486	0.8213505119	0.3840214819
487	0.8215805821	0.3837631984
488	0.8218106522	0.3836815907
489	0.8220407224	0.383606357
490	0.8220407224	0.3835313764
491	0.8221557575	0.3834642648
492	0.8221557575	0.3833691782
493	0.8221557575	0.3831997306
494	0.8221557575	0.383078927
495	0.8221557575	0.3830033212
496	0.8221557575	0.3829456927
497	0.8220407224	0.3828778934
498	0.8221557575	0.3827746316
499	0.8221557575	0.382704595
500	0.8221557575	0.3826177467
501	0.8220407224	0.3825230711
502	0.8225008628	0.3823728929
503	0.8223858277	0.3823251269
504	0.8223858277	0.3822577112
505	0.8221557575	0.3822053764
506	0.8225008628	0.3820575053
507	0.8223858277	0.3819440815
508	0.8222707926	0.3818641749
509	0.8223858277	0.3818165002
510	0.8223858277	0.3817290409
511	0.8223858277	0.3816532927
512	0.8223858277	0.3815944067
513	0.8225008628	0.3814896513
514	0.8225008628	0.3814382715
515	0.8226158978	0.3812956894
516	0.8225008628	0.3812287134
517	0.8223858277	0.3811804829
518	0.8221557575	0.38109124
519	0.8218106522	0.3809943777
520	0.8222707926	0.3808943352
521	0.8221557575	0.3807995102
522	0.8221557575	0.3807182287
523	0.8220407224	0.3806531669
524	0.8219256873	0.3805661165
525	0.8219256873	0.3805180195
526	0.8219256873	0.3804680837
527	0.8219256873	0.380380264
528	0.8220407224	0.380262398
529	0.8220407224	0.3801913551
530	0.8222707926	0.3801115706
531	0.8221557575	0.3798883507
532	0.8222707926	0.3798218871
533	0.8222707926	0.3796214355
534	0.8222707926	0.3794651929
535	0.8221557575	0.3794078419
536	0.8223858277	0.3793272618
537	0.8225008628	0.3792595472
538	0.8227309329	0.3791835435
539	0.8227309329	0.3791268397
540	0.8226158978	0.379073818
541	0.8223858277	0.3788893174
542	0.8223858277	0.3788213812
543	0.8223858277	0.3787157274
544	0.8223858277	0.3786017288
545	0.8225008628	0.3785119315
546	0.8230760382	0.3783999836
547	0.8230760382	0.3782814026
548	0.8229610031	0.3782232077
549	0.822845968	0.3781808017
550	0.822845968	0.3781116926
551	0.8227309329	0.3780446259
552	0.8225008628	0.3779722455
553	0.8227309329	0.377898565
554	0.822845968	0.3778091292
555	0.8226158978	0.3777316291
556	0.8230760382	0.3776683983
557	0.8233061084	0.377565881
558	0.8230760382	0.3774579749
559	0.8234211434	0.3773912289
560	0.8233061084	0.3773116477
561	0.8233061084	0.3772316028
562	0.8235361785	0.3771575435
563	0.8235361785	0.3770889637
564	0.8234211434	0.3769734961
565	0.8233061084	0.3768266649
566	0.8234211434	0.3766896801
567	0.8234211434	0.3764900967
568	0.8234211434	0.3764259779
569	0.8233061084	0.3762304935
570	0.8233061084	0.3761680826
571	0.8234211434	0.3760828474
572	0.8233061084	0.3760189252
573	0.8233061084	0.3759121086
574	0.8233061084	0.3758303901
575	0.8231910733	0.3757378798
576	0.8233061084	0.3756554087
577	0.8233061084	0.3755705343
578	0.8234211434	0.3755029216
579	0.8235361785	0.3754281878
580	0.8234211434	0.3753735999
581	0.8235361785	0.3751952172
582	0.8236512136	0.3751518135
583	0.8235361785	0.3751023407
584	0.8236512136	0.3750383768
